Sample description: 
Sample:   c= 14.3167 mg/ml  Code: BSA_pI_buffer
Parent(s): C:/Users/Надюсик-лапатусик/YandexDisk-station.rsa/BatchMode3/analysis/processed/subtracted/BSA_pI_buffer_0004_sub.dat C:/Users/Надюсик-лапатусик/YandexDisk-station.rsa/BatchMode3/analysis/processed/subtracted/BSA_pI_buffer_0007_sub.dat C:/Users/Надюсик-лапатусик/YandexDisk-station.rsa/BatchMode3/analysis/processed/subtracted/BSA_pI_buffer_0010_sub.dat  
 1.288840e+000  7.142878e+003  1.535311e+002
 1.291600e+000  7.310522e+003  1.531213e+002
 1.294360e+000  7.294523e+003  1.528589e+002
 1.297120e+000  6.890170e+003  1.509680e+002
 1.299880e+000  7.080201e+003  1.513132e+002
 1.302640e+000  7.083014e+003  1.528002e+002
 1.305400e+000  7.059378e+003  1.506419e+002
 1.308160e+000  7.044395e+003  1.507497e+002
 1.310920e+000  6.732028e+003  1.495567e+002
 1.313680e+000  6.640529e+003  1.491076e+002
 1.316440e+000  6.614314e+003  1.493816e+002
 1.319200e+000  6.754226e+003  1.479894e+002
 1.321960e+000  6.988287e+003  1.501380e+002
 1.324720e+000  6.580500e+003  1.475167e+002
 1.327470e+000  6.598005e+003  1.486352e+002
 1.330230e+000  6.320762e+003  1.462586e+002
 1.332990e+000  6.508241e+003  1.470008e+002
 1.335750e+000  6.452005e+003  1.474793e+002
 1.338510e+000  6.673075e+003  1.470135e+002
 1.341270e+000  6.442338e+003  1.465906e+002
 1.344030e+000  6.252387e+003  1.444867e+002
 1.346790e+000  6.123034e+003  1.450837e+002
 1.349550e+000  6.643290e+003  1.471709e+002
 1.352310e+000  6.198993e+003  1.443981e+002
 1.355070e+000  6.245708e+003  1.446331e+002
 1.357830e+000  6.128906e+003  1.440377e+002
 1.360590e+000  6.002062e+003  1.429810e+002
 1.363350e+000  5.986889e+003  1.432298e+002
 1.366110e+000  6.020137e+003  1.416203e+002
 1.368870e+000  5.747672e+003  1.425445e+002
 1.371630e+000  5.969246e+003  1.416877e+002
 1.374390e+000  5.864005e+003  1.419017e+002
 1.377150e+000  6.010606e+003  1.416089e+002
 1.379910e+000  5.817806e+003  1.402694e+002
 1.382670e+000  6.074613e+003  1.425425e+002
 1.385430e+000  5.775008e+003  1.399694e+002
 1.388190e+000  5.893529e+003  1.406883e+002
 1.390950e+000  5.609539e+003  1.385795e+002
 1.393710e+000  5.760462e+003  1.397458e+002
 1.396470e+000  5.670887e+003  1.390220e+002
